,X1E,X1F0,X1F3,X1F4,X1F5,X1OD,X1OP,X1SD,X1SM,X1SP,X2E,X2F0,X2F1,X2F2,X2F3,X2F4,X2F5,X2OD,X2OP,X2SD,X2SM,X2SP,X3E,X3F0,X3F1,X3F2,X3F3,X3F4,X3F5,X3OD,X3OP,X3SD,X3SM,X3SP,X4E,X4F0,X4F1,X4F2,X4F3,X4F4,X4F5,X4OD,X4OP,X4SD,X4SM,X4SP,X5E,X5F0,X5F1,X5F2,X5F3,X5F4,X5F5,X5OD,X5OP,X5SD,X5SM,X5SP,C8
X1E,0,0.793098727,0.614106563,0.518114866,0.156349811,0.149341191,0.112145494,0.511982733,0.509636991,0.51269505,0.797476387,0.796943708,0.792883896,0.81048159,0.796086024,0.788903975,0.788594055,0.793812232,0.781576645,0.790584243,0.492607238,0.806002368,0.50590677,0.801209235,0.492788987,0.506035846,0.511086031,0.501964123,0.502995013,0.501738051,0.498833601,0.503556127,0.507210118,0.510297855,0.627431604,0.79501103,0.674115559,0.612289461,0.61489355,0.537587216,0.533979981,0.54662881,0.54127556,0.741421869,0.740416815,0.493851513,0.849669962,0.796124004,0.851123347,0.854125415,0.851629985,0.850841281,0.844186677,0.85265631,0.846153224,0.852100481,0.829702607,0.847949192,0.894005646
X1F0,0.793098727,0,0.7788845,0.767017408,0.792503167,0.800688137,0.795616987,0.857169684,0.856271853,0.858022831,0.726182333,0.039406573,0.513426914,0.75138231,0.731891607,0.74427046,0.740436725,0.745034234,0.721133361,0.754772536,0.772060244,0.748561873,0.855190701,0.074312808,0.838863913,0.854285636,0.857091852,0.852830479,0.855957402,0.854573747,0.853836994,0.854079439,0.853610273,0.857213527,0.79871399,0.03734644,0.79545055,0.800276663,0.799703258,0.811346191,0.808830502,0.806970943,0.781534126,0.846667354,0.840699263,0.854758825,0.830790901,0.039143072,0.819737303,0.832299326,0.832794181,0.840751103,0.837885441,0.843861476,0.829825243,0.838806917,0.841531448,0.847826834,0.81790935
X1F3,0.614106563,0.7788845,0,0.563879326,0.633529262,0.647091044,0.633628013,0.783780875,0.777930547,0.784136483,0.82741155,0.78248106,0.782598884,0.744384325,0.733468907,0.800013102,0.79666831,0.841546239,0.816515906,0.819607165,0.731207148,0.805408159,0.776489232,0.786562644,0.76253596,0.777826588,0.780116171,0.774111304,0.777345996,0.77659094,0.772324777,0.77494804,0.769512158,0.779908536,0.536045366,0.781805172,0.599860218,0.587904648,0.549506882,0.61443466,0.599985507,0.586165605,0.504107146,0.675247227,0.70084967,0.773896208,0.678037557,0.780659391,0.694180964,0.680042825,0.692089893,0.659956112,0.657332433,0.669411544,0.681348967,0.692022323,0.709020993,0.707952233,0.893352874
X1F4,0.518114866,0.767017408,0.563879326,0,0.536218358,0.509974636,0.509463031,0.542384107,0.541694028,0.54559919,0.675123396,0.771398847,0.694363996,0.590726292,0.555243609,0.593095429,0.592522898,0.637123529,0.669665966,0.60775377,0.349499586,0.625903669,0.541371106,0.775034104,0.528487596,0.54145175,0.543135332,0.531509785,0.542143332,0.539988617,0.535152373,0.539777242,0.542076101,0.545969204,0.726178316,0.7697419,0.749867153,0.756154589,0.733128927,0.752718988,0.750070991,0.741940545,0.665351722,0.816407672,0.825940808,0.544200671,0.875492459,0.770572695,0.877193512,0.881366743,0.875197584,0.877445218,0.87220869,0.878850048,0.870079076,0.873711777,0.86760638,0.874546075,0.894659536
X1F5,0.156349811,0.792503167,0.633529262,0.536218358,0,0.105062974,0.084355309,0.543267728,0.541279467,0.543982067,0.805909068,0.79567056,0.78240079,0.806346634,0.803669291,0.807412855,0.80680583,0.810878133,0.790278705,0.80638013,0.526090291,0.815799605,0.536937957,0.800364922,0.525131685,0.536512895,0.542244289,0.534426543,0.534467119,0.533627872,0.531373724,0.535295364,0.538573138,0.542349241,0.624463026,0.794352489,0.635643027,0.568438309,0.597383658,0.500701997,0.50190047,0.520946209,0.54538446,0.746785267,0.711501586,0.522886914,0.840909295,0.795364812,0.843114802,0.844299018,0.843240653,0.840928929,0.83537988,0.843814387,0.837617074,0.844286016,0.816805272,0.841684029,0.8934729
X1OD,0.149341191,0.800688137,0.647091044,0.509974636,0.105062974,0,0.054913004,0.449437278,0.447342261,0.450190026,0.818574925,0.804036308,0.794864435,0.819903592,0.818329887,0.820775062,0.822153237,0.825048589,0.804360494,0.820545672,0.472362824,0.825786513,0.442869954,0.809222103,0.432052069,0.442390582,0.448319688,0.440352822,0.440290149,0.439213954,0.436932157,0.44133437,0.445058384,0.44839214,0.662576873,0.802179166,0.677667932,0.623964658,0.642334841,0.568700027,0.56835973,0.581045332,0.582290136,0.763353561,0.735122847,0.428578836,0.849949587,0.803360926,0.852190472,0.854304504,0.851891102,0.851584882,0.845602213,0.853344947,0.84797591,0.85323647,0.830722728,0.847237626,0.893030102
X1OP,0.112145494,0.795616987,0.633628013,0.509463031,0.084355309,0.054913004,0,0.480441319,0.478244886,0.481270813,0.807760115,0.799174164,0.791178478,0.812924374,0.805855334,0.804786756,0.805242003,0.809582573,0.792892446,0.80409822,0.479378143,0.814776946,0.474039704,0.803880258,0.462400288,0.473649304,0.479403339,0.470899316,0.471474189,0.470436922,0.468043814,0.472081871,0.475546808,0.479209618,0.651056663,0.797303033,0.664599288,0.607446027,0.629580696,0.553122324,0.552793154,0.567201527,0.570063793,0.761636475,0.731591167,0.459739597,0.845562048,0.798468915,0.847329027,0.849531776,0.847465154,0.846241729,0.840054859,0.848021732,0.842160438,0.847696327,0.823837152,0.842821582,0.893476519
X1SD,0.511982733,0.857169684,0.783780875,0.542384107,0.543267728,0.449437278,0.480441319,0,0.020533593,0.020105211,0.891199913,0.860260373,0.878231543,0.893069784,0.888728172,0.881574323,0.889995463,0.888657319,0.888325121,0.87744727,0.402727711,0.88055526,0.016609325,0.865328904,0.084803432,0.020434221,0.016194541,0.02315758,0.0200449,0.021843256,0.024976341,0.021633377,0.035346936,0.021050978,0.889999973,0.856997664,0.895666279,0.893834576,0.890743652,0.894031871,0.892135937,0.887692026,0.829837155,0.889129266,0.883597979,0.050299732,0.882229941,0.858552918,0.885770553,0.889066855,0.881093395,0.892948946,0.886070566,0.890052248,0.887140313,0.886092143,0.891690227,0.870934575,0.893610059
X1SM,0.509636991,0.856271853,0.777930547,0.541694028,0.541279467,0.447342261,0.478244886,0.020533593,0,0.016649769,0.890987631,0.859369238,0.877386123,0.892606751,0.887231692,0.880432127,0.889046743,0.887930964,0.887683657,0.877334899,0.401720165,0.878488386,0.012863342,0.864558179,0.082561431,0.017394001,0.013565111,0.018170779,0.015187756,0.016015309,0.020468363,0.015354111,0.027221576,0.011410722,0.888242262,0.856111643,0.894598495,0.892510292,0.888779043,0.892112415,0.890114733,0.885502856,0.827827478,0.884989962,0.879824949,0.047828698,0.880814097,0.857689659,0.883327731,0.88713287,0.880224257,0.88768567,0.880841922,0.884240806,0.883164297,0.881353221,0.885307627,0.865399775,0.893406496
X1SP,0.51269505,0.858022831,0.784136483,0.54559919,0.543982067,0.450190026,0.481270813,0.020105211,0.016649769,0,0.893386004,0.861109343,0.879707738,0.895452528,0.89052587,0.883378473,0.89206109,0.890607806,0.890259461,0.878952253,0.40571365,0.881545592,0.019730076,0.866300331,0.08523687,0.019497469,0.011841527,0.021522833,0.015865973,0.018658256,0.022085994,0.021922382,0.038718043,0.015474839,0.890133492,0.857818338,0.895642436,0.894002748,0.890828604,0.894109432,0.892168532,0.8877306,0.830212735,0.88926843,0.883662837,0.048238105,0.886860074,0.859458686,0.890229989,0.893427999,0.886133299,0.894989167,0.888251731,0.891715511,0.890473898,0.888745577,0.893035173,0.873183246,0.893632095
X2E,0.797476387,0.726182333,0.82741155,0.675123396,0.805909068,0.818574925,0.807760115,0.891199913,0.890987631,0.893386004,0,0.724680814,0.416528089,0.306759881,0.315075854,0.34529315,0.333389709,0.324094838,0.05720172,0.4172855,0.611521337,0.386698661,0.890101543,0.727988911,0.87758631,0.887915774,0.892981003,0.883475089,0.891414621,0.888507299,0.887515677,0.887814102,0.889931975,0.893171621,0.822788357,0.727402683,0.829376964,0.843805561,0.833259888,0.833659328,0.832300937,0.82941609,0.799978392,0.881991838,0.881770284,0.893422814,0.88923793,0.726274936,0.885607044,0.89164345,0.891511003,0.884535202,0.885210166,0.887261176,0.879016997,0.883225215,0.872185523,0.895294078,0.877864232
X2F0,0.796943708,0.039406573,0.78248106,0.771398847,0.79567056,0.804036308,0.799174164,0.860260373,0.859369238,0.861109343,0.724680814,0,0.511398077,0.750778991,0.732660372,0.744708849,0.740867784,0.7446764,0.7196411,0.75452512,0.774344768,0.748568804,0.85825801,0.085661726,0.842265285,0.857357169,0.860211799,0.856002763,0.859099077,0.857711262,0.85698957,0.857159203,0.856678466,0.860349543,0.800017204,0.03540773,0.796734395,0.801452818,0.800998316,0.812742304,0.810069179,0.808342367,0.783306322,0.847206587,0.840034543,0.857781454,0.829799048,0.036792092,0.819070216,0.830881936,0.831240003,0.839947942,0.836949725,0.84292673,0.828433531,0.837593876,0.840352406,0.846806401,0.818969792
X2F1,0.792883896,0.513426914,0.782598884,0.694363996,0.78240079,0.794864435,0.791178478,0.878231543,0.877386123,0.879707738,0.416528089,0.511398077,0,0.390733506,0.489900964,0.555877036,0.555643637,0.558771843,0.421309461,0.594494345,0.671882123,0.551243547,0.875542545,0.520645771,0.858982556,0.872439149,0.87870782,0.871705383,0.877089629,0.874435,0.873772998,0.874158073,0.875489883,0.879450719,0.781559745,0.515766161,0.793537802,0.811020518,0.794426334,0.797176178,0.791889893,0.789131877,0.765268326,0.867595138,0.860676686,0.877838921,0.861173851,0.513831486,0.851928129,0.861753897,0.861345089,0.856341829,0.8605443,0.862173404,0.853443608,0.857024018,0.853529022,0.871815518,0.85970099
X2F2,0.81048159,0.75138231,0.744384325,0.590726292,0.806346634,0.819903592,0.812924374,0.893069784,0.892606751,0.895452528,0.306759881,0.750778991,0.390733506,0,0.246489557,0.395403544,0.389969082,0.438660243,0.315693117,0.475616961,0.627695675,0.402618185,0.891899667,0.75290581,0.8801175,0.889703558,0.894085362,0.885388694,0.893497271,0.891016833,0.889707428,0.890290346,0.892281715,0.895722697,0.818642172,0.753807541,0.835210279,0.851904033,0.832818122,0.832361867,0.828788099,0.825724318,0.799527654,0.884965586,0.88653641,0.895898633,0.887067079,0.752484781,0.88417343,0.88846009,0.887589544,0.87903514,0.881833574,0.883445934,0.875984514,0.878774655,0.869856064,0.893255467,0.891621739
X2F3,0.796086024,0.731891607,0.733468907,0.555243609,0.803669291,0.818329887,0.805855334,0.888728172,0.887231692,0.89052587,0.315075854,0.732660372,0.489900964,0.246489557,0,0.24029919,0.230431299,0.311371563,0.308358494,0.369188658,0.592641442,0.29295385,0.887818179,0.73234433,0.875495898,0.886433461,0.889304275,0.878887266,0.88896735,0.886327003,0.884770803,0.885119301,0.887014661,0.890740525,0.835725392,0.733472194,0.84883658,0.860877942,0.846187579,0.847730641,0.844989281,0.842650039,0.808609064,0.881547679,0.884219268,0.891134908,0.884107221,0.732853112,0.881940041,0.886612735,0.884340895,0.879813937,0.878624526,0.882249649,0.871333899,0.874667462,0.866196485,0.890279029,0.884094522
X2F4,0.788903975,0.74427046,0.800013102,0.593095429,0.807412855,0.820775062,0.804786756,0.881574323,0.880432127,0.883378473,0.34529315,0.744708849,0.555877036,0.395403544,0.24029919,0,0.062847622,0.109956476,0.345141713,0.240580574,0.567394362,0.19814628,0.881170587,0.744009511,0.869441066,0.880768077,0.883018469,0.871912789,0.882439894,0.879774911,0.878337064,0.877875915,0.879773149,0.884223231,0.855774582,0.745150418,0.868453851,0.876461183,0.86409906,0.866227184,0.863185033,0.861651826,0.824589786,0.882812877,0.88760443,0.884647381,0.885042865,0.745596511,0.88383781,0.889148021,0.886194873,0.884454437,0.880677306,0.885407746,0.872966457,0.877135085,0.86710651,0.891232144,0.894442497
X2F5,0.788594055,0.740436725,0.79666831,0.592522898,0.80680583,0.822153237,0.805242003,0.889995463,0.889046743,0.89206109,0.333389709,0.740867784,0.555643637,0.389969082,0.230431299,0.062847622,0,0.118122287,0.33086413,0.213617526,0.573081752,0.222254373,0.88963772,0.740399848,0.877918107,0.889328169,0.891702886,0.880496893,0.890947607,0.888334096,0.886804552,0.886416732,0.88820394,0.892706939,0.85321698,0.741437081,0.865572591,0.871218641,0.860336248,0.859834538,0.857407181,0.856205307,0.82203302,0.87628061,0.881166109,0.892894574,0.885091066,0.741879691,0.883188492,0.889007442,0.886183282,0.884200676,0.880069662,0.884926202,0.872186337,0.875828189,0.865644177,0.890477548,0.890661494
X2OD,0.793812232,0.745034234,0.841546239,0.637123529,0.810878133,0.825048589,0.809582573,0.888657319,0.887930964,0.890607806,0.324094838,0.7446764,0.558771843,0.438660243,0.311371563,0.109956476,0.118122287,0,0.326060116,0.233657068,0.577392977,0.238420367,0.888260551,0.744748239,0.876690232,0.88786182,0.890739857,0.87982376,0.88957471,0.88688949,0.885596716,0.885030124,0.88693087,0.891466091,0.855247629,0.745722265,0.866862802,0.873775055,0.862545988,0.862440843,0.859717412,0.85857742,0.824331675,0.881264766,0.885509572,0.891729411,0.884705605,0.746144254,0.883424478,0.888790276,0.886151462,0.884359509,0.8805711,0.885325058,0.873157135,0.877578429,0.866647528,0.891071483,0.892225685
X2OP,0.781576645,0.721133361,0.816515906,0.669665966,0.790278705,0.804360494,0.792892446,0.888325121,0.887683657,0.890259461,0.05720172,0.7196411,0.421309461,0.315693117,0.308358494,0.345141713,0.33086413,0.326060116,0,0.418029334,0.607458923,0.377030218,0.886841029,0.723207693,0.873924438,0.884759125,0.88979895,0.880004774,0.888060758,0.885134276,0.884112612,0.884434409,0.886600401,0.889895177,0.814987474,0.722294434,0.824882418,0.83387602,0.823996675,0.819011052,0.817886659,0.815728941,0.789354022,0.870328706,0.871145795,0.889607691,0.886314976,0.721134837,0.883499344,0.888719975,0.888365855,0.882807866,0.882728824,0.885465176,0.87650898,0.880960855,0.86952477,0.89391505,0.875207726
X2SD,0.790584243,0.754772536,0.819607165,0.60775377,0.80638013,0.820545672,0.80409822,0.87744727,0.877334899,0.878952253,0.4172855,0.75452512,0.594494345,0.475616961,0.369188658,0.240580574,0.213617526,0.233657068,0.418029334,0,0.566203775,0.35957482,0.877145334,0.756942533,0.866870831,0.877288755,0.879844392,0.869058786,0.879045404,0.876587335,0.874703641,0.873687026,0.875915319,0.880844488,0.861141155,0.755454096,0.868974262,0.874068789,0.86697964,0.86946619,0.866681516,0.865892069,0.829119776,0.881137091,0.883232036,0.880827364,0.876693046,0.756372626,0.875577169,0.881644693,0.878589033,0.880762144,0.875455881,0.881481722,0.866370105,0.871453508,0.864947401,0.885661438,0.896621745
X2SM,0.492607238,0.772060244,0.731207148,0.349499586,0.526090291,0.472362824,0.479378143,0.402727711,0.401720165,0.40571365,0.611521337,0.774344768,0.671882123,0.627695675,0.592641442,0.567394362,0.573081752,0.577392977,0.607458923,0.566203775,0,0.597265013,0.401317117,0.779645351,0.391474302,0.400508235,0.405263064,0.390608131,0.403493754,0.400021905,0.397499282,0.397688706,0.401047807,0.406656136,0.839341319,0.772411902,0.847819191,0.849052444,0.843228398,0.843661663,0.840678922,0.837291948,0.770918831,0.871213757,0.863110191,0.406110432,0.87727554,0.773923987,0.878476635,0.884472675,0.87786947,0.879983992,0.87285653,0.878611416,0.871883098,0.871910213,0.868457198,0.869026464,0.893905676
X2SP,0.806002368,0.748561873,0.805408159,0.625903669,0.815799605,0.825786513,0.814776946,0.88055526,0.878488386,0.881545592,0.386698661,0.748568804,0.551243547,0.402618185,0.29295385,0.19814628,0.222254373,0.238420367,0.377030218,0.35957482,0.597265013,0,0.879482127,0.748465146,0.867867606,0.878917892,0.880907242,0.87048233,0.880730048,0.878344185,0.877211072,0.876501098,0.877971901,0.882471785,0.861772959,0.748981455,0.874512628,0.881260277,0.86917425,0.870530758,0.867762052,0.865712248,0.832199589,0.878356548,0.885438159,0.882909457,0.88553239,0.749104224,0.883647287,0.888145131,0.88542996,0.88364315,0.879988382,0.88375767,0.872479537,0.874187156,0.864076186,0.888741452,0.887725017
X3E,0.50590677,0.855190701,0.776489232,0.541371106,0.536937957,0.442869954,0.474039704,0.016609325,0.012863342,0.019730076,0.890101543,0.85825801,0.875542545,0.891899667,0.887818179,0.881170587,0.88963772,0.888260551,0.886841029,0.877145334,0.401317117,0.879482127,0,0.863529749,0.080749101,0.012682516,0.015347221,0.019630383,0.013662106,0.015333394,0.018517237,0.009672521,0.024117373,0.016166327,0.885274268,0.855049431,0.891547212,0.889225107,0.885946406,0.889204992,0.887069292,0.882656573,0.824488056,0.885348867,0.879672132,0.045614323,0.876598561,0.856605148,0.879773041,0.883109892,0.875840236,0.885433253,0.87852148,0.882368675,0.88018937,0.879200732,0.883935801,0.863661155,0.893397615
X3F0,0.801209235,0.074312808,0.786562644,0.775034104,0.800364922,0.809222103,0.803880258,0.865328904,0.864558179,0.866300331,0.727988911,0.085661726,0.520645771,0.75290581,0.73234433,0.744009511,0.740399848,0.744748239,0.723207693,0.756942533,0.779645351,0.748465146,0.863529749,0,0.847964632,0.862661867,0.865327919,0.861135995,0.864320872,0.862960661,0.862238409,0.862488569,0.862120899,0.865505458,0.801948084,0.079742484,0.796655245,0.801867294,0.802385669,0.814790781,0.812268978,0.81073438,0.786289205,0.849100244,0.840434492,0.862789919,0.835211225,0.083591833,0.824319429,0.835997345,0.835259474,0.846158745,0.842800279,0.84899147,0.834002743,0.841695001,0.845804298,0.851861833,0.816048148
X3F1,0.492788987,0.838863913,0.76253596,0.528487596,0.525131685,0.432052069,0.462400288,0.084803432,0.082561431,0.08523687,0.87758631,0.842265285,0.858982556,0.8801175,0.875495898,0.869441066,0.877918107,0.876690232,0.873924438,0.866870831,0.391474302,0.867867606,0.080749101,0.847964632,0,0.081109268,0.083389246,0.079881703,0.081169794,0.080085711,0.078777021,0.080218066,0.083757463,0.083596823,0.868923894,0.839037712,0.877352259,0.875370556,0.870026963,0.875067073,0.872646583,0.867825437,0.807053422,0.877342949,0.872961451,0.090955138,0.874946458,0.840473149,0.877399297,0.881663651,0.874861717,0.882605931,0.875931953,0.879975198,0.878578323,0.877478164,0.881992637,0.863003338,0.89186531
X3F2,0.506035846,0.854285636,0.777826588,0.54145175,0.536512895,0.442390582,0.473649304,0.020434221,0.017394001,0.019497469,0.887915774,0.857357169,0.872439149,0.889703558,0.886433461,0.880768077,0.889328169,0.88786182,0.884759125,0.877288755,0.400508235,0.878917892,0.012682516,0.862661867,0.081109268,0,0.016181189,0.020185368,0.016112188,0.01593431,0.018740953,0.015157784,0.03179245,0.018742995,0.88482341,0.854125539,0.889446677,0.887985713,0.885511227,0.889208319,0.887119449,0.882833812,0.824365568,0.88858652,0.881414259,0.044662564,0.879883218,0.855671172,0.883265872,0.886298123,0.879141528,0.888724165,0.881994021,0.8856638,0.883352489,0.882740589,0.886670272,0.867010705,0.893483323
X3F3,0.511086031,0.857091852,0.780116171,0.543135332,0.542244289,0.448319688,0.479403339,0.016194541,0.013565111,0.011841527,0.892981003,0.860211799,0.87870782,0.894085362,0.889304275,0.883018469,0.891702886,0.890739857,0.88979895,0.879844392,0.405263064,0.880907242,0.015347221,0.865327919,0.083389246,0.016181189,0,0.01841286,0.013935642,0.015715277,0.019093928,0.018758324,0.034651606,0.012284752,0.888002263,0.856893081,0.893617159,0.892030267,0.888613473,0.892432936,0.890473755,0.885959978,0.827991182,0.887576907,0.881505564,0.04574249,0.884199305,0.858504005,0.888035601,0.890822619,0.883506848,0.893194269,0.886398942,0.890051357,0.888239165,0.887163923,0.891565598,0.871628907,0.893143095
X3F4,0.501964123,0.852830479,0.774111304,0.531509785,0.534426543,0.440352822,0.470899316,0.02315758,0.018170779,0.021522833,0.883475089,0.856002763,0.871705383,0.885388694,0.878887266,0.871912789,0.880496893,0.87982376,0.880004774,0.869058786,0.390608131,0.87048233,0.019630383,0.861135995,0.079881703,0.020185368,0.01841286,0,0.018258572,0.016785422,0.016405358,0.018657,0.035354568,0.021627147,0.883505257,0.852677242,0.889949231,0.887672885,0.884173166,0.887480523,0.88556018,0.88097808,0.822294188,0.884507911,0.879711099,0.048609275,0.88355649,0.854281858,0.887140585,0.890095408,0.882662271,0.891702555,0.88475163,0.888510684,0.886897759,0.885200492,0.889525574,0.870383428,0.893509314
X3F5,0.502995013,0.855957402,0.777345996,0.542143332,0.534467119,0.440290149,0.471474189,0.0200449,0.015187756,0.015865973,0.891414621,0.859099077,0.877089629,0.893497271,0.88896735,0.882439894,0.890947607,0.88957471,0.888060758,0.879045404,0.403493754,0.880730048,0.013662106,0.864320872,0.081169794,0.016112188,0.013935642,0.018258572,0,0.012792437,0.0158556,0.016026669,0.031496003,0.013965634,0.884420359,0.855828127,0.891155031,0.888301435,0.884865918,0.886714404,0.884852297,0.880466246,0.823642192,0.884043841,0.879175811,0.045062967,0.881861573,0.857416246,0.885340171,0.888468271,0.881230039,0.889761759,0.883022912,0.886717007,0.885673221,0.883869108,0.88843745,0.868722938,0.893506983
