Sample,Group,Order
s58_vc09,1,1
s59_vc09,1,1
s60_vc09,1,1
s1_vc10,1,1
s10_vc10,1,1
s11_vc10,1,1
s12_vc10,1,1
s13_vc10,1,1
s14_vc10,1,1
s15_vc10,1,1
s16_vc10,1,1
s17_vc10,1,1
s18_vc10,1,1
s19_vc10,1,1
s2_vc10,1,1
s3_vc10,1,1
s4_vc10,1,1
s5_vc10,1,1
s6_vc10,1,1
s7_vc10,1,1
s8_vc10,1,1
s9_vc10,1,1
s63_vc11,1,1
s64_vc11,1,1
s46_vc16,1,1
s47_vc16,1,1
s48_vc16,1,1
s49_vc16,1,1
s50_vc16,1,1
s51_vc16,1,1
s52_vc16,1,1
s53_vc16,1,1
s54_vc16,1,1
s55_vc16,1,1
s56_vc16,1,1
s57_vc16,1,1
s58_vc16,1,1
s59_vc16,1,1
s60_vc16,1,1
s61_vc16,1,1
s62_vc16,1,1
s63_vc16,1,1
s64_vc16,1,1
s43_vc17,1,1
s44_vc17,1,1
s45_vc17,1,1
s46_vc17,1,1
s47_vc17,1,1
s48_vc17,1,1
s49_vc17,1,1
s50_vc17,1,1
s51_vc17,1,1
s52_vc17,1,1
s53_vc17,1,1
s54_vc17,1,1
s55_vc17,1,1
s56_vc17,1,1
s57_vc17,1,1
s58_vc17,1,1
s59_vc17,1,1
s60_vc17,1,1