,,KPPR1_Lung_177,KPPR1_Spleen_177,KPPR1_Liver_177,KPPR1_Lung_178,KPPR1_Spleen_178,KPPR1_Liver_178,KPPR1_Blood_178,KPPR1_Lung_179,KPPR1_Spleen_179,KPPR1_Liver_179,KPPR1_Blood_179,KPPR1_Lung_190,KPPR1_Spleen_190,KPPR1_Liver_190,KPPR1_Blood_190,KPPR1_Lung_191,KPPR1_Spleen_191,KPPR1_Liver_191,KPPR1_Blood_191,KPPR1_Lung_192,KPPR1_Spleen_192,KPPR1_Liver_192,KPPR1_Blood_192,NOX2_Lung_187,NOX2_Spleen_187,NOX2_Liver_187,NOX2_Blood_187,NOX2_Lung_188,NOX2_Spleen_188,NOX2_Liver_188,NOX2_Blood_188,NOX2_Lung_189,NOX2_Spleen_189,NOX2_Liver_189,NOX2_Blood_189,NOX2_Lung_200,NOX2_Spleen_200,NOX2_Liver_200,NOX2_Blood_200,NOX2_Lung_201,NOX2_Spleen_201,NOX2_Liver_201,NOX2_Blood_201
,,s25_ch06,s38_ch06,s61_ch06,s26_ch06,s39_ch06,s62_ch06,s50_ch06,s27_ch06,s40_ch06,s63_ch06,s51_ch06,s73_ch07,s83_ch07,s103_ch07,s93_ch07,s74_ch07,s84_ch07,s104_ch07,s94_ch07,s75_ch07,s85_ch07,s105_ch07,s95_ch07,s35_ch06,s47_ch06,s70_ch07,s58_ch06,s36_ch06,s48_ch06,s71_ch07,s59_ch06,s37_ch06,s49_ch06,s72_ch07,s60_ch06,s81_ch07,s91_ch07,s111_ch07,s101_ch07,s82_ch07,s92_ch07,s112_ch07,s102_ch07
KPPR1_Lung_177,s25_ch06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_177,s38_ch06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_177,s61_ch06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_178,s26_ch06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_178,s39_ch06,0,0,0,0,1,0.861654167,0.920782221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_178,s62_ch06,0,0,0,0,0.920782221,1,0.920782221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_178,s50_ch06,0,0,0,0,0.920782221,0.861654167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_179,s27_ch06,0,0,0,0,0,0,0,1,0.712414374,0.345687124,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_179,s40_ch06,0,0,0,0,0,0,0,0.157574642,1,0.612296158,0.885621875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_179,s63_ch06,0,0,0,0,0,0,0,0.124874949,1,1,0.885621875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_179,s51_ch06,0,0,0,0,0,0,0,0.124874949,1,0.612296158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_190,s73_ch07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_190,s83_ch07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_190,s103_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_190,s93_ch07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_191,s74_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.466154677,0.773705614,0.773705614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_191,s84_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211830867,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_191,s104_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150911355,0.429226939,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_191,s94_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150911355,0.429226939,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Lung_192,s75_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Spleen_192,s85_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.77552387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Liver_192,s105_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPPR1_Blood_192,s95_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710836105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Lung_187,s35_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Spleen_187,s47_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.921665932,0.698997211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Liver_187,s70_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964660248,1,0.731486856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Blood_187,s58_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823199224,0.823066998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Lung_188,s36_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Spleen_188,s48_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.862785729,0.278942946,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Liver_188,s71_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918946607,1,0.557885891,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Blood_188,s59_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142628382,0.267823466,1,0,0,0,0,0,0,0,0,0,0,0,0
NOX2_Lung_189,s37_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NOX2_Spleen_189,s49_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.526838674,1,0,0,0,0,0,0,0,0
NOX2_Liver_189,s72_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82338733,1,1,0,0,0,0,0,0,0,0
NOX2_Blood_189,s60_ch06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205846832,0.131709669,1,0,0,0,0,0,0,0,0
NOX2_Lung_200,s81_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NOX2_Spleen_200,s91_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.782455995,0.678103594,0,0,0,0
NOX2_Liver_200,s111_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818245711,1,0.695831255,0,0,0,0
NOX2_Blood_200,s101_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589425687,0.578379817,1,0,0,0,0
NOX2_Lung_201,s82_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.808120978
NOX2_Spleen_201,s92_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.317973419
NOX2_Liver_201,s112_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NOX2_Blood_201,s102_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675272988,0.434508269,0,1
