Tube,CFU
M1024_S11_L001_R1_001,837500
M1048_S10_L001_R1_001,1412500
M10cae_S8_L001_R1_001,36250000
M10col_S9_L001_R1_001,13000
M10SI_S7_L001_R1_001,71250
M10st_S6_L001_R1_001,23
M1124_S17_L001_R1_001,2250000
M1148_S18_L001_R1_001,63750000
M1172_S16_L001_R1_001,4625000
M11cae_S14_L001_R1_001,31250000
M11col_S15_L001_R1_001,32500
M11SI_S13_L001_R1_001,1875
M11st_S12_L001_R1_001,23
M1224_S5_L001_R1_001,3250000
M1272_S4_L001_R1_001,10375000
M12cae_S2_L001_R1_001,55000000
M12col_S3_L001_R1_001,67500
M12SI_S1_L001_R1_001,126250
M1324_S11_L001_R1_001,110000
M1372_S10_L001_R1_001,6750000
M13cae_S8_L001_R1_001,28750000
M13col_S9_L001_R1_001,81250
M13SI_S7_L001_R1_001,8875
M13st_S6_L001_R1_001,9875
M1424_S17_L001_R1_001,17
M1448_S18_L001_R1_001,1025000
M1472_S16_L001_R1_001,12000000
M14cae_S14_L001_R1_001,113750000
M14col_S15_L001_R1_001,350000
M14SI_S13_L001_R1_001,537500
M14st_S12_L001_R1_001,201250
M1524_S5_L001_R1_001,9250000
M1548_S6_L001_R1_001,8875000
M1572_S4_L001_R1_001,925000
M15cae_S2_L001_R1_001,75000000
M15col_S3_L001_R1_001,24250
M15SI_S1_L001_R1_001,13
M1cae_S2_L001_R1_001,58750000
M1col_S3_L001_R1_001,68750
M1fec_S4_L001_R1_001,7750000
M1SI_S1_L001_R1_001,7000
M2cae_S7_L001_R1_001,62500000
M2col_S8_L001_R1_001,61250
M2fec_S9_L001_R1_001,5125000
M2SI_S6_L001_R1_001,11875
M2st_S5_L001_R1_001,225000
M3cae_S12_L001_R1_001,22500000
M3col_S13_L001_R1_001,37500
M3fec_S14_L001_R1_001,1412500
M3SI_S11_L001_R1_001,7250
M3st_S10_L001_R1_001,8
M4cae_S17_L001_R1_001,35000000
M4col_S18_L001_R1_001,46250
M4fec_S19_L001_R1_001,4625000
M4SI_S16_L001_R1_001,2750000
M4st_S15_L001_R1_001,8
M5cae_S3_L001_R1_001,32500000
M5col_S4_L001_R1_001,33750
M5fec_S5_L001_R1_001,4250000
M5si_S2_L001_R1_001,17250
M5st_S1_L001_R1_001,56250
M724_S10_L001_R1_001,11750000
M748_S9_L001_R1_001,85000000
M7cae_S8_L001_R1_001,812500000
M7col_S9_L001_R1_001,8375000
M7si_S7_L001_R1_001,101250000
M7st_S6_L001_R1_001,11250
M824_S17_L001_R1_001,10750000
M848_S16_L001_R1_001,3500000
M8cae_S14_L001_R1_001,10375000
M8col_S15_L001_R1_001,165000
M8si_S13_L001_R1_001,98750
M8st_S12_L001_R1_001,28
M924_S5_L001_R1_001,900
M948_S4_L001_R1_001,600000
M9cae_S2_L001_R1_001,13125000
M9col_S3_L001_R1_001,7500
M9SI_S1_L001_R1_001,2500